page,2013-04 pi,2013-04 pv,2013-05 pi,2013-05 pv,2013-06 pi,2013-06 pv,2013-07 pi,2013-07 pv,2013-08 pi,2013-08 pv,2013-09 pi,2013-09 pv,2013-10 pi,2013-10 pv,2013-11 pi,2013-11 pv,2013-12 pi,2013-12 pv,2014-01 pi,2014-01 pv,2014-02 pi,2014-02 pv,2014-03 pi,2014-03 pv,2014-04 pi,2014-04 pv,2014-05 pi,2014-05 pv,2014-06 pi,2014-06 pv,2014-07 pi,2014-07 pv,2014-08 pi,2014-08 pv,2014-09 pi,2014-09 pv,2014-10 pi,2014-10 pv,2014-11 pi,2014-11 pv,2014-12 pi,2014-12 pv,2015-01 pi,2015-01 pv,2015-02 pi,2015-02 pv,2015-03 pi,2015-03 pv,2015-04 pi,2015-04 pv,2015-05 pi,2015-05 pv,2015-06 pi,2015-06 pv,2015-07 pi,2015-07 pv,2015-08 pi,2015-08 pv,2015-09 pi,2015-09 pv,2015-10 pi,2015-10 pv,2015-11 pi,2015-11 pv,2015-12 pi,2015-12 pv,2016-01 pi,2016-01 pv,2016-02 pi,2016-02 pv,2016-03 pi,2016-03 pv,2016-04 pi,2016-04 pv,2016-05 pi,2016-05 pv,2016-06 pi,2016-06 pv,2016-07 pi,2016-07 pv,2016-08 pi,2016-08 pv,2016-09 pi,2016-09 pv,2016-10 pi,2016-10 pv,2016-11 pi,2016-11 pv,2016-12 pi,2016-12 pv,2017-01 pi,2017-01 pv,2017-02 pi,2017-02 pv,2017-03 pi,2017-03 pv,2017-04 pi,2017-04 pv,2017-05 pi,2017-05 pv,2017-06 pi,2017-06 pv,2017-07 pi,2017-07 pv,2017-08 pi,2017-08 pv,2017-09 pi,2017-09 pv,2017-10 pi,2017-10 pv,2017-11 pi,2017-11 pv,2017-12 pi,2017-12 pv,2018-01 pi,2018-01 pv,2018-02 pi,2018-02 pv,2018-03 pi,2018-03 pv,2018-04 pi,2018-04 pv,2018-05 pi,2018-05 pv,2018-06 pi,2018-06 pv,2018-07 pi,2018-07 pv,2018-08 pi,2018-08 pv,2018-09 pi,2018-09 pv,2018-10 pi,2018-10 pv,2018-11 pi,2018-11 pv,2018-12 pi,2018-12 pv,2019-01 pi,2019-01 pv,2019-02 pi,2019-02 pv,2019-03 pi,2019-03 pv,2019-04 pi,2019-04 pv,2019-05 pi,2019-05 pv,2019-06 pi,2019-06 pv,2019-07 pi,2019-07 pv,2019-08 pi,2019-08 pv,2019-09 pi,2019-09 pv,2019-10 pi,2019-10 pv
blockkarte-1-50000-isu50-raumbezug-umweltatlas-1990-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
gesundheitsberichterstattung-berlin-kontext-bezirksprofile-berlin-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,,,,,,,3,3,2,2,1,1,,,,,,,1,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,2,2
gr%C3%BCnd%C3%A4cher-dachteilfl%C3%A4chen-geb%C3%A4ude-umweltatlas-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2
einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-nach-wohndauer-am-31122014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,103,66,54,91,75,76,64,53,46,48,43,52,43,61,48,64,58,50,42,60,54,60,51,32,28,7,6,15,14,10,8,7,7,10,10,9,7,7,6,6,4,4,3,10,9,8,6,6,6,6,6,15,13,11,10,2,2,5,4,2,2,6,5,11,8,8,7,6,6,6,5,8,6,3,3,6,6,10,8,1,1,5,4,2,2,1,1,5,5,4,4,7,5,1,1,3,3,3,3,,,,,,,3,2,1,1,2,2
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062013,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,43,36,32,27,29,26,33,27,33,30,34,30,16,15,26,26,7,7,4,4,5,5,3,3,2,2,4,4,4,4,8,8,7,5,4,4,,,1,1,,,,,,,1,1,2,2,1,1,,,,,,,,,,,,,2,2,5,3,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,,,,,,1,1,,,4,2,1,1,1,1,1,1,,,,,,,4,4,,,2,2
strat-l%C3%A4rmkarte-lden-tag-abend-nacht-index-flugverkehr-2017-ua-atom-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2
pr%C3%BCfberichte-der-berliner-heimaufsicht,,,,,,,,,,,,,,,,,,,,,,,5,5,7,6,21,18,21,16,33,26,14,12,27,21,19,15,17,16,24,19,22,17,27,20,23,17,8,6,15,15,17,15,5,3,2,2,5,3,11,5,,,,,,,2,2,3,3,2,2,5,3,1,1,3,2,6,5,,,3,3,5,4,1,1,7,6,9,7,4,3,1,1,1,1,3,3,1,1,15,14,,,6,4,1,1,4,3,1,1,5,5,2,2,2,2,1,1,,,1,1,5,3,1,1,1,1,,,,,,,3,3,1,1,1,1,1,1,,,3,3,1,1,,,2,2
gesundheitsberichterstattung-berlin-bev%C3%B6lkerung-und-bev%C3%B6lkerungsspezifische-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,3,3,1,1,,,1,1,3,2,,,,,1,1,1,1,1,1,6,6,,,,,,,3,2,,,2,1,,,2,2,1,1,1,1,1,1,2,2,,,,,1,1,,,1,1,1,1,,,,,,,2,2,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,2,2
gesamtabfluss-aus-niederschl%C3%A4gen-2012-umweltatlas-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
digitale-topographische-karte-1-100-000-dtk100-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2
atkis-bahnstrecke-linien-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2
gesundheitsberichterstattung-berlin-besch%C3%A4ftigte-im-gesundheitswesen-besch%C3%A4ftigte-im,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,3,3,,,1,1,,,,,,,,,1,1,1,1,,,1,1,2,2,1,1,,,4,4,,,,,,,,,,,,,1,1,3,3,4,4,,,,,,,,,,,3,3,,,,,,,,,,,5,5,,,,,,,10,8,7,6,2,2,1,1,1,1,4,4,1,1,3,3,4,4,,,,,,,2,2,1,1,3,2,,,,,2,2
verwaltungseinheiten-der-berliner-forsten-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
atkis-bauwerk-im-verkehrsbereich-punkte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,2,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-313-vermeidbare-sterbef%C3%A4lle,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
standardlastprofil-haushalt-2016-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,2,2,,,,,,,11,7,5,5,2,2,1,1,3,3,1,1,4,4,8,7,6,5,1,1,,,7,7,22,22,11,9,10,9,7,5,6,6,7,6,6,5,4,4,5,5,6,5,4,3,10,9,6,6,2,2,18,15,10,7,4,4,10,9,,,,,,,,,2,2,2,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-811-zahn%C3%A4rztinnen-und-zahn%C3%A4rzte,,,,,,,,,,,,,,,,,,,,,,,,,14,10,3,3,4,4,1,1,1,1,5,5,2,2,2,2,1,1,3,3,3,3,,,4,4,5,5,7,7,5,5,,,,,,,1,1,,,1,1,1,1,3,3,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2
strat-l%C3%A4rmkarte-ln-nacht-index-flugverkehr-2017-ua-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,,,,,,,,,,,,,3,1,,,2,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-215-verf%C3%BCgbares-einkommen-der,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,3,3,3,1,1,2,2,2,2,2,2,,,5,2,4,4,1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,4,,,,,,,2,2,1,1,4,3,,,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,1,,,,,4,4,4,3,3,3,2,2,,,,,,,1,1,2,2,2,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-818-personal-im-pflegedienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bev%C3%B6lkerung-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,3,3,,,,,,,,,,,,,1,1,,,1,1,,,,,,,3,2,2,2,2,2,,,,,,,,,1,1,1,1,,,,,,,1,1,2,2,3,2,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
los32014-berlin,,,,,5,3,1,1,1,1,1,1,1,1,,,,,,,,,,,2,2,,,,,1,1,,,,,,,,,,,2,2,1,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
geothermisches-potenzial-spezifische-entzugsleistung-bis-80-m-f%C3%BCr-2400-ha-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
geb%C3%A4udesch%C3%A4den-1945-atom-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
freifl%C3%A4chenentwicklung-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
esf-gef%C3%B6rderte-vorhaben-des-landes-berlin-2014-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,,,,,,,25,22,3,3,4,3,,,2,2,1,1,,,,,2,2,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-71-inanspruchnahme-von,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,32,67,60,66,55,50,39,42,37,54,41,59,47,32,28,43,41,24,22,36,31,50,38,34,33,60,54,41,39,39,34,44,39,55,43,49,45,42,38,54,47,43,39,57,54,56,41,44,37,10,10,11,10,18,17,12,11,17,14,5,5,11,10,9,8,7,6,8,7,5,5,12,11,23,20,10,9,2,2,2,2,3,3,,,1,1
grundwasserabh%C3%A4ngige-%C3%B6kosysteme-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1
energieatlas-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,77,16,15,10,10,8,7,4,4,3,3,5,5,8,7,8,7,4,4,7,7,7,7,2,2,2,2,7,7,1,1
wohnatlas-berlin-prozentuale-ver%C3%A4nderungen-der-einwohnerzahlen-2004-2009-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
alkis-berlin-vegetation-linien-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1
gr%C3%BCnvolumen-umweltatlas-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vbb-fahrplandaten-juni-bis-oktober-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,49,206,164,172,139,55,48,19,18,8,7,7,7,4,3,2,2,,,4,1,1,1,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-statistische-kurzinformationen-schwangerenbetreuung,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,3,2,3,3,9,7,8,7,3,2,4,4,8,7,4,3,5,5,3,2,2,2,6,2,3,3,,,,,,,,,,,,,3,3,5,4,5,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,1,3,3,4,3,,,,,,,,,,,,,2,2,1,1,3,2,,,,,,,1,1,,,2,1,1,1,1,1,1,1
digitale-farbige-orthophotos-2007-dop20rgb-atom-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
existierende-bodennutzung-2015-im-inspire-datenmodell-atom-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,1
atkis-flugverkehrsanlage-fl%C3%A4che-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
bestand-anlagen-strom-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,,,,,1,1,,,,,,,,,1,1,1,1
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122011,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,6,5,9,7,12,9,4,4,8,7,8,8,5,5,6,6,3,3,7,6,4,4,2,2,2,2,2,2,,,,,,,2,2,,,2,1,2,2,2,2,2,2,5,4,6,4,3,3,3,2,3,3,1,1,,,1,1,13,8,4,4,7,5,3,3,3,3,1,1,1,1,,,2,2,3,3,3,3,3,3,3,3,3,3,,,1,1,3,2,1,1,1,1,33,27,4,3,2,2,5,5,1,1,2,2,,,,,3,2,,,,,,,4,4,1,1,1,1
flurabstand-des-grundwassers-2009-differenziert-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2017-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bev%C3%B6lkerung-allgemeine-5,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,1,2,2,,,2,2,,,4,2,1,1,,,,,1,1,,,,,,,,,1,1,2,2,,,,,,,1,1,,,2,2,,,,,,,,,,,,,,,3,3,2,2,1,1,,,1,1,,,,,1,1,,,,,,,2,2,,,1,1,,,3,3,2,2,,,,,,,1,1,,,1,1,,,,,,,,,,,2,2,,,2,1,1,1
summenlast-nicht-leistungsgemessene-kunden-2018-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,5,5,1,1
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,119,143,122,93,76,130,109,118,102,83,73,30,28,28,28,44,41,28,26,41,33,51,44,43,40,33,28,22,20,44,41,23,22,20,18,48,42,29,28,44,42,36,34,63,57,56,49,33,28,78,60,38,30,46,41,28,28,34,31,59,50,33,30,,,2,2,6,6,1,1,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-3115-gestorbene-infolge-%C3%A4u%C3%9Ferer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-615-wichtige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsrelevante-verhaltensweisen-ern%C3%A4hrung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,,,2,2,1,1,,,2,2,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1
arbeitslosenanteil-2014-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
st%C3%A4dtische-wohnungen-2014-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
digitale-schwarz-wei%C3%9F-orthophotos-2006-dop15pan-atom-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
stra%C3%9Fenbefahrung-2014-sitzbank-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
digitale-color-infrarot-orthophotos-2015-dop20cir-sommerbefliegung-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,1,1
lapro-beschlussfassung-biotop-und-artenschutz-programmplan-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-394-rentenzug%C3%A4nge-wegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1
atkis-turm-punkte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1
